lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.1,64,16,2000,0.6479,0.6145,0.6184,0.6704,0.6164,0.5936
0.0001,0.2,64,64,6000,0.6385,0.5935,0.6343,0.669,0.6045,0.6056
0.0001,0.1,64,16,6000,0.6538,0.5879,0.6142,0.6676,0.6037,0.5956
0.001,0.2,128,32,2000,0.6288,0.6139,0.6486,0.6595,0.6011,0.6111
0.001,0.1,128,32,4000,0.4748,0.7725,0.7701,0.7929,0.6004,0.5801
0.0001,0.3,32,64,4000,0.6608,0.5301,0.6038,0.6679,0.599,0.6015
0.0,0.2,256,64,8000,0.6667,0.5494,0.5984,0.6652,0.596,0.6028
0.0001,0.3,256,64,2000,0.655,0.5777,0.6124,0.6694,0.5956,0.5807
0.001,0.3,32,64,6000,0.582,0.667,0.6884,0.6951,0.592,0.587
0.001,0.2,128,32,6000,0.4236,0.7992,0.8007,0.8378,0.5851,0.5739
0.0001,0.2,32,64,8000,0.6455,0.5606,0.6266,0.6648,0.5774,0.6057
0.001,0.1,32,64,8000,0.4261,0.7916,0.8024,0.8867,0.5766,0.5763
0.0001,0.2,64,32,4000,0.6578,0.5325,0.608,0.6664,0.5756,0.5936
0.001,0.2,32,32,2000,0.6457,0.5657,0.6261,0.6632,0.5755,0.5952
0.001,0.2,128,32,6000,0.4445,0.783,0.7894,0.8545,0.5727,0.56
0.0001,0.2,128,16,2000,0.6709,0.5207,0.5824,0.6734,0.5724,0.5834
0.0001,0.2,32,16,6000,0.6661,0.5244,0.5928,0.6688,0.5715,0.5934
0.0001,0.3,128,64,8000,0.6275,0.5734,0.6463,0.6659,0.5698,0.5986
0.001,0.3,32,64,4000,0.6108,0.5977,0.6616,0.6752,0.5647,0.5845
0.001,0.1,256,64,6000,0.038,0.9877,0.9885,2.0251,0.5591,0.5823
0.001,0.2,256,16,6000,0.5726,0.6572,0.6988,0.7071,0.5549,0.5812
0.001,0.3,128,64,4000,0.4792,0.742,0.7676,0.7952,0.5531,0.578
0.0,0.1,256,16,6000,0.676,0.5191,0.577,0.6733,0.5503,0.5795
0.0,0.1,256,32,6000,0.6701,0.5359,0.5858,0.6706,0.5503,0.5842
0.001,0.2,256,32,6000,0.2742,0.8758,0.8876,0.9884,0.5475,0.5821
0.0,0.3,128,16,8000,0.6832,0.4369,0.5629,0.6837,0.5454,0.564
0.001,0.1,128,64,8000,0.0665,0.9727,0.9746,1.9885,0.5431,0.5608
0.0001,0.1,32,16,4000,0.6689,0.5205,0.5976,0.6716,0.5416,0.5861
0.0001,0.2,256,16,4000,0.6577,0.4658,0.6072,0.6627,0.5373,0.6049
0.001,0.3,128,64,6000,0.3287,0.8438,0.8544,0.9666,0.5242,0.5596
0.0,0.1,256,64,2000,0.6781,0.4765,0.5757,0.6784,0.5099,0.5741
0.0001,0.3,32,16,4000,0.6784,0.4028,0.5726,0.6794,0.5052,0.5686
0.0,0.2,64,16,4000,0.6877,0.3532,0.5408,0.6891,0.4713,0.5315
0.0,0.3,64,16,6000,0.6871,0.3215,0.5479,0.6889,0.4678,0.5347
0.0,0.2,32,32,8000,0.6868,0.3866,0.5458,0.6887,0.4611,0.5271
0.0,0.2,64,64,4000,0.6868,0.3597,0.5401,0.6876,0.43,0.5378
0.0,0.2,64,64,2000,0.688,0.3019,0.5385,0.6896,0.4124,0.5223
0.0,0.2,64,32,2000,0.6889,0.2494,0.5341,0.6903,0.3827,0.5216
0.0,0.1,32,64,2000,0.6892,0.2789,0.5353,0.6903,0.2828,0.5282
0.0,0.2,32,64,2000,0.69,0.1079,0.5308,0.6921,0.0712,0.5102
