lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.1,32,64,4000,0.1599,0.9639,0.9349,0.1915,0.9562,0.9232
0.001,0.1,128,64,8000,0.1092,0.9757,0.957,0.2223,0.9556,0.9235
0.001,0.1,32,32,4000,0.2036,0.9558,0.921,0.2029,0.9546,0.9203
0.0001,0.2,256,32,8000,0.2066,0.9539,0.9182,0.2215,0.9531,0.9162
0.001,0.2,64,32,4000,0.2125,0.9511,0.9122,0.2207,0.9522,0.9145
0.001,0.3,256,32,8000,0.2166,0.9525,0.9153,0.2141,0.9508,0.9152
0.001,0.2,64,32,8000,0.1997,0.9534,0.9165,0.2052,0.95,0.9131
0.001,0.2,32,16,4000,0.2245,0.9496,0.911,0.2245,0.9483,0.9098
0.001,0.1,256,64,6000,0.1109,0.9733,0.9531,0.2313,0.9473,0.9102
0.001,0.2,32,32,4000,0.2211,0.9457,0.9024,0.2314,0.9468,0.9061
0.0001,0.1,128,32,4000,0.2394,0.9469,0.9039,0.2384,0.945,0.9009
0.001,0.2,128,16,4000,0.2372,0.9474,0.906,0.2381,0.9448,0.9035
0.001,0.2,128,16,2000,0.2461,0.9424,0.8988,0.2397,0.9444,0.9024
0.001,0.3,128,16,8000,0.2332,0.9482,0.9084,0.2314,0.943,0.9009
0.001,0.2,32,16,6000,0.2486,0.9476,0.9062,0.2573,0.9419,0.8978
0.0001,0.1,32,64,6000,0.2336,0.947,0.9038,0.2426,0.9404,0.8916
0.0001,0.2,64,32,6000,0.2521,0.9425,0.8965,0.2478,0.9376,0.8865
0.0001,0.2,128,16,8000,0.2364,0.9488,0.9084,0.2453,0.9365,0.8871
0.001,0.3,32,16,6000,0.2498,0.9403,0.8938,0.2488,0.9361,0.885
0.0,0.1,256,64,8000,0.2745,0.9365,0.8827,0.2781,0.933,0.876
0.0001,0.1,256,16,2000,0.2537,0.9405,0.8921,0.2625,0.932,0.8771
0.0001,0.1,128,16,2000,0.2673,0.9408,0.8923,0.2818,0.9313,0.8761
0.0001,0.2,128,32,2000,0.2873,0.9368,0.8838,0.2736,0.9306,0.8722
0.0,0.1,64,64,6000,0.3377,0.9347,0.8781,0.3323,0.9301,0.8703
0.0,0.2,256,64,2000,0.3712,0.9337,0.8763,0.3788,0.9295,0.8691
0.0,0.3,256,32,8000,0.3436,0.9345,0.8786,0.3507,0.9295,0.8698
0.0001,0.3,128,16,2000,0.34,0.9276,0.8691,0.3161,0.9289,0.8708
0.0,0.1,128,64,8000,0.2906,0.9374,0.8832,0.3016,0.9288,0.868
0.0,0.2,32,16,8000,0.4034,0.9324,0.8771,0.416,0.9287,0.8704
0.0,0.1,64,16,4000,0.3946,0.9308,0.8738,0.4039,0.9286,0.8707
0.0,0.1,64,16,6000,0.3501,0.9349,0.8804,0.3681,0.9285,0.8705
0.0,0.1,256,64,2000,0.3412,0.934,0.877,0.3513,0.9284,0.8671
0.0,0.3,64,64,2000,0.4326,0.9296,0.8693,0.4565,0.9283,0.8674
0.0001,0.2,128,16,2000,0.3019,0.9316,0.8761,0.3049,0.9282,0.8703
0.0,0.1,128,32,4000,0.3392,0.9382,0.8853,0.3652,0.9277,0.8669
0.0001,0.3,256,32,2000,0.2892,0.9387,0.8884,0.2841,0.9273,0.8669
0.0001,0.2,32,16,6000,0.272,0.9353,0.8833,0.2773,0.9269,0.8672
0.0001,0.3,64,16,2000,0.3434,0.933,0.8781,0.3381,0.9268,0.8671
0.0,0.3,64,64,4000,0.3993,0.9322,0.8737,0.4082,0.9262,0.8638
0.0,0.3,128,16,6000,0.3872,0.9331,0.8781,0.4203,0.9242,0.8632
