model,modality,Unnamed: 0,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
RecurrentSiameseNet,both,15.0,0.0001,0.1,256.0,64.0,6000.0,0.1203,0.9732,0.9521,0.1871,0.9611,0.932
SiameseNet,both,2.0,0.0001,0.1,256.0,64.0,6000.0,0.1853,0.9561,0.9219,0.2115,0.9551,0.9205
RecurrentSiameseNet,syntactic,10.0,0.001,0.3,32.0,32.0,8000.0,0.2104,0.9538,0.9161,0.2255,0.9533,0.916
SiameseNet,syntactic,7.0,0.001,0.2,128.0,32.0,8000.0,0.2414,0.9456,0.902,0.224,0.9518,0.9148
RecurrentSiameseNet,semantic,12.0,0.0001,0.3,128.0,64.0,4000.0,0.2758,0.9418,0.8926,0.28,0.9432,0.8958
SiameseNet,semantic,9.0,0.001,0.1,64.0,16.0,4000.0,0.0609,0.9872,0.9788,0.2635,0.9426,0.9042
