lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.2,64,64,2000,0.4863,0.7438,0.7426,0.5448,0.6823,0.7016
0.001,0.3,32,32,6000,0.4941,0.7254,0.7343,0.5288,0.6744,0.7052
0.001,0.3,32,16,4000,0.5349,0.6956,0.706,0.5459,0.6699,0.7029
0.0001,0.2,128,64,8000,0.5022,0.7154,0.7336,0.5221,0.6674,0.7229
0.0,0.1,128,32,8000,0.5966,0.6705,0.6728,0.5788,0.6639,0.6961
0.001,0.3,128,16,6000,0.4854,0.7383,0.7431,0.5464,0.6624,0.7047
0.0001,0.1,128,16,2000,0.5777,0.6824,0.6842,0.5734,0.6586,0.6955
0.001,0.1,32,64,4000,0.444,0.763,0.7778,0.5633,0.657,0.7064
0.001,0.3,256,64,2000,0.4585,0.7545,0.7634,0.5491,0.657,0.704
0.001,0.2,64,16,4000,0.5082,0.7112,0.727,0.5315,0.6552,0.7141
0.001,0.2,64,16,6000,0.4878,0.7184,0.7458,0.553,0.6534,0.7128
0.001,0.3,32,64,4000,0.4935,0.735,0.7369,0.5622,0.6527,0.6886
0.0001,0.2,64,16,2000,0.5921,0.6668,0.6733,0.5776,0.6505,0.6885
0.001,0.1,32,32,2000,0.5247,0.6975,0.7148,0.5347,0.649,0.7128
0.001,0.3,64,32,6000,0.4644,0.7514,0.7603,0.5548,0.6489,0.6881
0.0,0.2,128,16,8000,0.6162,0.6531,0.6568,0.596,0.6482,0.681
0.0,0.3,64,64,4000,0.6475,0.6127,0.6234,0.6329,0.6467,0.6617
0.001,0.2,64,64,4000,0.4161,0.7831,0.7971,0.5754,0.646,0.6877
0.0001,0.1,32,16,4000,0.5849,0.6608,0.6784,0.5675,0.6459,0.7008
0.0001,0.3,256,32,6000,0.5316,0.701,0.7088,0.5437,0.645,0.7115
0.0,0.2,64,16,8000,0.6373,0.6294,0.6444,0.6176,0.6437,0.6746
0.0001,0.3,128,16,4000,0.5708,0.6697,0.6869,0.5625,0.642,0.696
0.0001,0.2,64,64,2000,0.5794,0.6662,0.6817,0.5641,0.6408,0.7055
0.0,0.1,128,16,6000,0.6197,0.6462,0.6582,0.599,0.6389,0.6838
0.0,0.2,128,32,2000,0.6533,0.5812,0.6156,0.6343,0.6381,0.6694
0.0,0.3,256,16,2000,0.6474,0.6124,0.6299,0.6372,0.6379,0.6399
0.0,0.1,256,32,4000,0.6014,0.6452,0.6657,0.5819,0.6375,0.6901
0.001,0.2,64,64,6000,0.3236,0.843,0.853,0.669,0.6354,0.6903
0.0001,0.1,64,64,2000,0.5723,0.6542,0.6864,0.5657,0.6303,0.7007
0.0,0.2,128,16,2000,0.6591,0.5704,0.606,0.6435,0.6264,0.636
0.001,0.2,256,32,6000,0.2169,0.9083,0.9146,0.7972,0.623,0.6884
0.0001,0.3,64,64,2000,0.583,0.6478,0.6734,0.568,0.6228,0.6931
0.0,0.2,64,64,2000,0.6555,0.5563,0.6076,0.6404,0.6202,0.6596
0.0,0.1,32,16,8000,0.6538,0.6149,0.6225,0.6375,0.6173,0.6544
0.001,0.2,256,64,2000,0.399,0.7956,0.8067,0.6058,0.6163,0.6936
0.0001,0.3,128,32,6000,0.5473,0.6664,0.6996,0.5632,0.6121,0.7052
0.001,0.2,256,64,6000,0.0643,0.9762,0.9778,1.3548,0.6096,0.6566
0.0001,0.3,32,64,2000,0.6038,0.6518,0.6659,0.5854,0.6065,0.6914
0.001,0.3,256,64,8000,0.0682,0.9752,0.9769,1.3475,0.6045,0.663
0.001,0.3,32,32,2000,0.5493,0.6114,0.6859,0.5436,0.5978,0.711
