lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.3,256,64,6000,0.5875,0.6413,0.6497,0.617,0.6453,0.6411
0.001,0.1,128,64,8000,0.5071,0.7014,0.7296,0.5487,0.6355,0.7084
0.001,0.1,128,64,2000,0.5493,0.6809,0.6779,0.5622,0.6338,0.6815
0.0001,0.2,32,64,6000,0.6127,0.6304,0.6431,0.6265,0.6321,0.6404
0.0001,0.3,64,64,8000,0.5974,0.64,0.6493,0.6217,0.6275,0.6323
0.0001,0.1,128,64,8000,0.5499,0.6604,0.6851,0.5709,0.6244,0.6786
0.001,0.1,64,64,4000,0.538,0.6587,0.6966,0.5557,0.6242,0.696
0.001,0.1,256,32,4000,0.5563,0.6734,0.678,0.5603,0.6237,0.6862
0.001,0.2,64,64,6000,0.5456,0.664,0.6762,0.568,0.6201,0.6805
0.001,0.3,256,32,2000,0.5874,0.6595,0.6407,0.6447,0.6173,0.6002
0.0001,0.3,128,16,6000,0.6297,0.5823,0.624,0.6529,0.6154,0.607
0.0001,0.3,64,32,4000,0.6424,0.595,0.6238,0.6588,0.6119,0.614
0.0001,0.2,256,16,8000,0.584,0.6104,0.6577,0.5948,0.6117,0.6671
0.0,0.1,256,64,8000,0.6293,0.6053,0.63,0.6313,0.6081,0.6537
0.0001,0.1,32,32,8000,0.595,0.6268,0.6536,0.5962,0.607,0.667
0.0001,0.2,128,16,6000,0.6172,0.5967,0.6398,0.6187,0.6032,0.6508
0.0001,0.3,32,32,4000,0.6417,0.5821,0.6155,0.6602,0.6025,0.5944
0.0001,0.1,32,64,4000,0.6169,0.6241,0.6358,0.6138,0.6003,0.6534
0.001,0.3,128,32,6000,0.5742,0.6294,0.6643,0.587,0.5961,0.6737
0.001,0.1,128,16,4000,0.5757,0.6415,0.661,0.5757,0.5951,0.6695
0.0,0.2,64,32,2000,0.6877,0.4661,0.5312,0.6877,0.5915,0.5409
0.001,0.3,128,64,4000,0.5688,0.6956,0.6815,0.5794,0.5831,0.6781
0.0001,0.1,32,32,2000,0.6436,0.5692,0.6095,0.6487,0.5771,0.6307
0.001,0.2,128,16,8000,0.5798,0.6215,0.6548,0.5693,0.5745,0.6738
0.001,0.2,256,32,8000,0.5499,0.6091,0.6758,0.5551,0.5664,0.6865
0.0,0.1,128,16,4000,0.6742,0.4575,0.579,0.67,0.5483,0.6309
0.0,0.1,128,32,4000,0.6681,0.5132,0.5966,0.6623,0.5375,0.6342
0.0,0.2,32,16,6000,0.682,0.4239,0.5422,0.6839,0.5312,0.5609
0.001,0.3,256,16,8000,0.5735,0.598,0.6522,0.5838,0.529,0.6568
0.0001,0.2,32,16,2000,0.6702,0.4169,0.558,0.6669,0.5033,0.6187
0.0001,0.1,256,16,4000,0.6055,0.5131,0.6417,0.6011,0.4989,0.6606
0.001,0.3,256,64,4000,0.5756,0.5736,0.6553,0.5825,0.4887,0.6654
0.001,0.3,256,32,6000,0.5786,0.5638,0.6528,0.5768,0.4816,0.6718
0.0,0.1,32,64,2000,0.6897,0.4264,0.5233,0.6872,0.4728,0.5329
0.001,0.3,256,16,2000,0.5985,0.3784,0.6076,0.6051,0.3886,0.6487
0.0,0.1,64,16,8000,0.673,0.3543,0.5775,0.6665,0.3816,0.6248
0.0,0.2,64,16,8000,0.6738,0.3841,0.5666,0.6707,0.3444,0.6113
0.0,0.2,64,16,4000,0.6843,0.158,0.5396,0.6825,0.0225,0.5774
0.0,0.2,32,64,2000,0.6904,0.1522,0.5168,0.6797,0.0,0.5738
0.0,0.3,32,16,4000,0.6917,0.218,0.5315,0.68,0.0,0.5866
