lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.2,256,64,6000,0.4598,0.7543,0.7792,0.6214,0.591,0.6677
0.0001,0.2,128,64,6000,0.525,0.6962,0.7323,0.602,0.5849,0.6694
0.0001,0.3,256,64,4000,0.5591,0.6258,0.6882,0.6008,0.5705,0.6675
0.001,0.2,32,32,4000,0.5473,0.6561,0.6987,0.5983,0.5644,0.6713
0.0001,0.1,128,64,6000,0.4719,0.7401,0.7668,0.6265,0.5639,0.6561
0.0001,0.3,256,16,8000,0.5504,0.6519,0.7054,0.5956,0.5638,0.6742
0.001,0.3,32,64,2000,0.5696,0.6394,0.6779,0.5956,0.5618,0.6631
0.001,0.1,64,16,8000,0.4366,0.755,0.7872,0.6488,0.5595,0.6543
0.001,0.2,32,16,6000,0.56,0.6526,0.6999,0.5937,0.5592,0.6769
0.001,0.1,256,64,8000,0.1811,0.9102,0.9202,1.2037,0.5541,0.6574
0.001,0.2,64,64,2000,0.5197,0.698,0.7349,0.604,0.5529,0.6682
0.001,0.1,128,32,4000,0.4093,0.7731,0.8013,0.7257,0.5471,0.6454
0.0001,0.2,256,16,6000,0.563,0.6031,0.6813,0.597,0.5411,0.6724
0.001,0.2,128,64,6000,0.4086,0.7837,0.8035,0.729,0.5299,0.6346
0.0001,0.3,64,64,8000,0.5599,0.6338,0.6885,0.5952,0.5291,0.6636
0.001,0.1,32,16,4000,0.5638,0.6202,0.6896,0.5901,0.5144,0.6739
0.0001,0.1,64,16,8000,0.572,0.5905,0.6801,0.6047,0.5065,0.6685
0.0001,0.3,128,16,8000,0.5857,0.5631,0.6555,0.6016,0.5033,0.6605
0.0001,0.3,64,32,8000,0.5843,0.5901,0.6718,0.6007,0.4992,0.6623
0.0001,0.3,64,64,4000,0.6028,0.5346,0.6406,0.6153,0.4953,0.6512
0.0001,0.2,128,32,4000,0.5885,0.5556,0.6601,0.6092,0.4934,0.6545
0.0001,0.2,64,32,6000,0.5903,0.5562,0.6526,0.6129,0.4894,0.6512
0.0001,0.3,256,16,4000,0.5975,0.5318,0.6474,0.614,0.4889,0.6471
0.001,0.1,256,16,2000,0.5617,0.5615,0.6782,0.6097,0.4715,0.6609
0.0001,0.3,32,64,6000,0.5994,0.5403,0.6456,0.6179,0.4603,0.6464
0.0001,0.1,32,64,4000,0.5971,0.5342,0.6481,0.6184,0.4524,0.642
0.0001,0.1,32,64,2000,0.6152,0.4845,0.6209,0.6334,0.4507,0.6352
0.001,0.2,32,16,2000,0.6117,0.4574,0.6224,0.6161,0.4396,0.6501
0.0001,0.3,64,16,8000,0.6032,0.5206,0.6431,0.6172,0.4283,0.6401
0.0,0.1,256,64,6000,0.628,0.4772,0.6284,0.649,0.4121,0.6329
0.0,0.1,256,32,8000,0.6387,0.4217,0.6126,0.6528,0.3686,0.627
0.0001,0.3,128,16,4000,0.6132,0.4496,0.6202,0.6263,0.3647,0.6414
0.0,0.1,128,64,8000,0.6494,0.3603,0.6038,0.6613,0.3197,0.6144
0.0001,0.3,64,16,2000,0.664,0.2567,0.5852,0.6679,0.1967,0.6203
0.0001,0.2,32,16,2000,0.679,0.1541,0.5649,0.6788,0.082,0.5953
0.0,0.1,128,64,4000,0.6834,0.1327,0.5625,0.6814,0.082,0.5964
0.0,0.2,128,16,2000,0.6924,0.1997,0.5208,0.6924,0.0425,0.5705
0.0,0.2,128,16,8000,0.6868,0.0091,0.5272,0.6851,0.0044,0.5755
0.0,0.3,256,16,2000,0.6906,0.0,0.5386,0.6884,0.0,0.5807
0.0,0.3,256,16,2000,0.6904,0.0,0.5432,0.6882,0.0,0.5832
