lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.1,256,64,4000,0.1288,0.9695,0.9454,0.2177,0.9447,0.9027
0.0001,0.2,256,16,8000,0.1427,0.9687,0.9458,0.2394,0.9408,0.9003
0.0001,0.3,64,32,8000,0.2273,0.938,0.8865,0.2607,0.9393,0.8923
0.001,0.1,32,64,2000,0.0983,0.9783,0.9615,0.2684,0.9381,0.8936
0.001,0.1,128,32,8000,0.0114,0.9968,0.9945,0.5939,0.9354,0.891
0.001,0.1,32,16,6000,0.0771,0.9839,0.9728,0.3007,0.9345,0.8896
0.0001,0.1,256,16,4000,0.1948,0.9426,0.8962,0.2463,0.9335,0.8808
0.0001,0.3,256,16,8000,0.1836,0.953,0.9172,0.2646,0.9314,0.8879
0.0001,0.3,64,16,8000,0.2483,0.9318,0.8767,0.2648,0.9309,0.8754
0.0,0.2,256,64,4000,0.303,0.931,0.8719,0.3078,0.9299,0.87
0.0001,0.2,32,64,4000,0.2707,0.934,0.877,0.2905,0.9296,0.8693
0.0,0.2,64,64,6000,0.3773,0.9394,0.8865,0.3927,0.9293,0.869
0.0,0.1,64,32,4000,0.4938,0.934,0.8779,0.4964,0.9293,0.8702
0.0,0.1,128,64,2000,0.5173,0.935,0.8787,0.521,0.9292,0.8686
0.0001,0.2,64,64,4000,0.2535,0.9321,0.8741,0.2738,0.9292,0.8685
0.0001,0.2,256,64,2000,0.246,0.9368,0.8821,0.2765,0.9292,0.8686
0.0001,0.2,32,32,8000,0.244,0.9345,0.8791,0.2733,0.9291,0.8696
0.0,0.1,128,16,8000,0.3064,0.9298,0.8719,0.3119,0.929,0.8713
0.0001,0.3,256,16,4000,0.2457,0.9366,0.8843,0.2717,0.9289,0.8715
0.0,0.3,128,64,6000,0.3074,0.9347,0.8781,0.3208,0.9287,0.8678
0.0,0.3,128,64,6000,0.3073,0.9339,0.8767,0.3209,0.9287,0.8678
0.0001,0.3,32,32,4000,0.293,0.9314,0.8736,0.2994,0.928,0.8674
0.0001,0.2,64,32,4000,0.2569,0.935,0.8795,0.2881,0.9279,0.8674
0.0,0.2,32,32,4000,0.5681,0.9364,0.8822,0.5731,0.9279,0.8677
0.0,0.3,256,64,2000,0.3635,0.9396,0.8869,0.3933,0.9278,0.8659
0.0,0.1,256,64,4000,0.286,0.9372,0.8828,0.3148,0.9273,0.8652
0.0,0.1,256,64,4000,0.2936,0.9334,0.876,0.3114,0.9273,0.8657
0.001,0.1,256,64,4000,0.0108,0.9981,0.9966,0.6899,0.9269,0.8772
0.0001,0.2,256,16,2000,0.2805,0.9307,0.8742,0.293,0.9268,0.8675
0.0,0.2,64,16,6000,0.432,0.9339,0.8797,0.4415,0.9267,0.8676
0.0,0.1,128,64,2000,0.519,0.9372,0.8828,0.5271,0.9267,0.8642
0.0,0.2,256,16,4000,0.3173,0.9296,0.8721,0.3276,0.9255,0.8656
0.0001,0.3,256,64,6000,0.1522,0.9617,0.9315,0.2745,0.9242,0.8748
0.001,0.2,32,64,4000,0.0937,0.9791,0.9637,0.3182,0.9235,0.8726
0.001,0.2,64,32,4000,0.0754,0.9825,0.9695,0.3375,0.9155,0.8622
0.001,0.2,64,64,6000,0.0432,0.9891,0.981,0.5161,0.9078,0.8512
0.001,0.3,32,64,8000,0.098,0.974,0.9541,0.3989,0.9076,0.8517
0.001,0.3,256,16,6000,0.107,0.9721,0.9523,0.4061,0.9013,0.8452
0.001,0.3,64,32,8000,0.0861,0.9798,0.9647,0.5476,0.8813,0.8148
0.001,0.3,128,64,8000,0.0501,0.9896,0.982,0.849,0.8559,0.7809
