model,modality,Unnamed: 0,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
SiameseNet,semantic,17.0,0.001,0.3,128.0,64.0,4000.0,0.5745,0.6982,0.7075,0.9338,0.655,0.5338
RecurrentSiameseNet,both,14.0,0.0001,0.1,128.0,32.0,4000.0,0.6487,0.6168,0.6197,0.6693,0.6206,0.5879
RecurrentSiameseNet,syntactic,2.0,0.0001,0.2,256.0,16.0,8000.0,0.6673,0.5655,0.5942,0.6729,0.5875,0.5846
SiameseNet,both,2.0,0.001,0.1,64.0,64.0,4000.0,0.6634,0.5817,0.5913,0.6795,0.5678,0.5558
RecurrentSiameseNet,semantic,14.0,0.001,0.2,32.0,16.0,2000.0,0.6553,0.5505,0.6101,0.6729,0.567,0.5969
SiameseNet,syntactic,17.0,0.0001,0.2,256.0,32.0,6000.0,0.6866,0.5529,0.5391,0.6873,0.5497,0.5495
