lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.2,128,64,8000,0.6443,0.5717,0.6214,0.6714,0.5846,0.6096
0.001,0.3,128,16,4000,0.6247,0.6118,0.6476,0.6796,0.5766,0.5845
0.001,0.1,32,64,2000,0.6305,0.6082,0.6389,0.6754,0.5736,0.5848
0.001,0.3,32,64,2000,0.6421,0.5699,0.6235,0.6668,0.5696,0.5983
0.001,0.1,256,16,4000,0.529,0.7159,0.7334,0.7434,0.5682,0.5783
0.001,0.3,32,32,4000,0.6392,0.597,0.6304,0.6796,0.5667,0.5804
0.0001,0.2,64,16,8000,0.6579,0.5513,0.6021,0.6693,0.564,0.5967
0.0001,0.1,128,64,2000,0.6572,0.5473,0.6035,0.6697,0.5633,0.6013
0.0001,0.1,128,64,8000,0.632,0.588,0.6306,0.6883,0.5632,0.5836
0.0001,0.1,256,32,8000,0.6317,0.591,0.6344,0.6899,0.5613,0.586
0.001,0.3,32,32,4000,0.6375,0.5848,0.6309,0.6757,0.5608,0.5893
0.001,0.2,256,16,6000,0.4551,0.7659,0.7798,0.8105,0.5595,0.5719
0.001,0.3,64,16,2000,0.6584,0.5425,0.6036,0.6724,0.5595,0.5847
0.0001,0.1,256,64,2000,0.6489,0.5752,0.6164,0.6739,0.5588,0.5835
0.001,0.1,32,16,4000,0.6354,0.5835,0.6303,0.6772,0.5553,0.5837
0.001,0.3,128,32,8000,0.4113,0.7872,0.801,0.8918,0.5543,0.5643
0.0001,0.2,64,16,8000,0.657,0.544,0.6041,0.6706,0.5543,0.5867
0.001,0.2,64,32,6000,0.5561,0.6798,0.7065,0.7455,0.5517,0.5678
0.0001,0.3,128,32,2000,0.6668,0.5201,0.587,0.6721,0.5453,0.5829
0.001,0.2,32,16,6000,0.631,0.5894,0.6391,0.6785,0.5387,0.5813
0.0001,0.2,128,32,2000,0.6624,0.5104,0.5923,0.669,0.5379,0.5897
0.0001,0.2,64,16,4000,0.6643,0.5208,0.5907,0.6724,0.5378,0.5814
0.001,0.2,64,32,8000,0.5022,0.715,0.7451,0.8068,0.5363,0.5629
0.0001,0.2,128,16,4000,0.6602,0.515,0.6006,0.6699,0.5296,0.586
0.0,0.2,256,32,6000,0.6755,0.4835,0.5751,0.6775,0.5261,0.579
0.0,0.1,256,32,8000,0.6715,0.4954,0.5844,0.6754,0.5244,0.5754
0.0,0.3,256,32,8000,0.6722,0.5002,0.5817,0.6763,0.5219,0.575
0.0,0.3,256,64,4000,0.6794,0.4769,0.5698,0.6816,0.5004,0.5634
0.0,0.2,64,32,8000,0.6835,0.419,0.561,0.6861,0.4413,0.5518
0.0,0.1,128,16,6000,0.6851,0.4023,0.5547,0.6875,0.435,0.5474
0.0,0.2,256,16,4000,0.6859,0.3972,0.5539,0.6889,0.4297,0.5422
0.0,0.3,256,16,4000,0.6852,0.3835,0.5538,0.6878,0.4253,0.5506
0.0,0.3,32,16,2000,0.6929,0.3875,0.4995,0.693,0.3915,0.4923
0.0,0.2,32,32,8000,0.6862,0.3563,0.5499,0.6891,0.3856,0.5407
0.0,0.1,64,32,4000,0.6876,0.2922,0.5491,0.6892,0.3249,0.5397
0.0,0.3,32,64,4000,0.6888,0.1856,0.5443,0.6897,0.2221,0.5445
0.0,0.1,32,64,4000,0.6886,0.176,0.5489,0.6883,0.1861,0.5493
0.0,0.3,32,16,4000,0.6918,0.1366,0.5315,0.692,0.1649,0.5313
0.0,0.1,32,16,6000,0.6893,0.1396,0.5457,0.6904,0.1636,0.5374
0.0,0.3,32,64,2000,0.6911,0.0,0.5258,0.692,0.0,0.517
